covariance_type,K,silhouette_mean,silhouette_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std,aic_mean,aic_std,bic_mean,bic_std,n_iterations_mean,n_iterations_std,avg_max_membership_mean,avg_max_membership_std,pct_ambiguous_0_70_mean,pct_ambiguous_0_70_std,ari_mean,ari_std
diag,2,0.101,0.0086,9049.6193,3282.9601,3.4173,0.5756,-6000652.2602,1328662.8091,-5999130.9066,1328662.8091,5.6,0.8944,1.0,0.0001,0.0,0.0,0.4508,0.3704
diag,3,0.0854,0.0146,6909.2738,846.3596,3.2958,0.2051,-11439320.3393,942843.6509,-11437033.4637,942843.6509,12.2,0.4472,0.9999,0.0001,0.0001,0.0001,0.6167,0.2941
diag,4,0.1165,0.0117,7703.4143,1209.7036,3.0226,0.3925,-14927131.957,385255.289,-14924079.5595,385255.289,8.8,2.3875,1.0,0.0,0.0,0.0,0.6296,0.2639
diag,5,0.1119,0.0153,7403.4264,364.4897,3.0653,0.2294,-15691193.167,1196649.101,-15687375.2476,1196649.101,15.6,1.9494,0.9998,0.0002,0.0002,0.0002,0.4407,0.2205
diag,6,0.1268,0.0232,7221.7706,912.2593,3.1537,0.6264,-16352197.564,934580.9338,-16347614.1228,934580.9338,9.8,2.5884,0.9999,0.0,0.0001,0.0,0.5249,0.1962
diag,7,0.1405,0.0231,7475.4541,1035.1429,3.0613,0.4407,-18985016.4753,383685.1454,-18979667.5121,383685.1454,9.8,1.3038,0.9999,0.0001,0.0001,0.0001,0.622,0.1586
diag,8,0.1425,0.0097,7404.9537,682.9712,3.1517,0.208,-19616600.7592,471588.1478,-19610486.2741,471588.1478,9.8,0.8367,0.9997,0.0003,0.0004,0.0007,0.7212,0.1801
tied,2,0.1362,0.0339,12823.1615,1312.2994,2.4754,0.562,-9181311.2567,567954.9054,-9172987.4172,567954.9054,5.6,1.8166,0.9918,0.0112,0.0097,0.0132,0.2772,0.4268
tied,3,0.1174,0.0105,10144.9327,3077.4153,2.4942,0.1852,-9556626.6285,667524.3804,-9547915.183,667524.3804,13.6,10.8536,0.9875,0.0114,0.017,0.0155,0.3924,0.4323
tied,4,0.1236,0.0055,8815.052,523.6885,2.3951,0.013,-10792536.457,533849.5284,-10783437.4055,533849.5284,10.0,3.937,1.0,0.0,0.0,0.0,0.6719,0.271
tied,5,0.1287,0.016,9405.8241,1045.1959,2.2765,0.0548,-11150148.1343,566856.6952,-11140661.4768,566856.6952,11.8,3.9623,0.9983,0.0016,0.001,0.001,0.5314,0.2105
tied,6,0.1333,0.0189,8611.3127,785.8031,2.2161,0.0869,-11543563.5367,1069781.4698,-11533689.2731,1069781.4698,16.2,8.4971,0.9944,0.0112,0.0074,0.015,0.462,0.178
tied,7,0.1418,0.0165,8316.658,599.9853,2.2554,0.2284,-12011054.9588,659034.3307,-12000793.0892,659034.3307,13.0,4.062,0.9984,0.0021,0.0007,0.0007,0.6612,0.1435
tied,8,0.1359,0.0106,8030.9309,543.5578,2.1493,0.0866,-11882906.4243,514889.2132,-11872256.9486,514889.2132,11.0,3.5355,0.9967,0.0017,0.0007,0.0007,0.742,0.1563
