,dtype,n_missing,pct_missing,n_unique,pct_unique
lead_time,int64,0,0.0,479,0.4
days_in_waiting_list,int64,0,0.0,128,0.11
previous_bookings_not_canceled,int64,0,0.0,73,0.06
stays_in_week_nights,int64,0,0.0,35,0.03
booking_changes,int64,0,0.0,21,0.02
arrival_date_month,str,0,0.0,12,0.01
stays_in_weekend_nights,int64,0,0.0,17,0.01
adults,int64,0,0.0,14,0.01
children,float64,4,0.0,6,0.01
market_segment,str,0,0.0,8,0.01
previous_cancellations,int64,0,0.0,15,0.01
hotel,str,0,0.0,2,0.0
babies,int64,0,0.0,5,0.0
distribution_channel,str,0,0.0,5,0.0
is_repeated_guest,int64,0,0.0,2,0.0
deposit_type,str,0,0.0,3,0.0
customer_type,str,0,0.0,4,0.0
